label	text_a
2	that  sounds  like  hippyism.  im  not  leaving  my  children  's  values  up  for  grabs.  as  ive  said  before  ,  if  parents  dont  feel  their  children  's  heads  with  good  things  then  the  pc  patrol  will  definitely  feel  their  heads  with  bad  things  .
2	Shannon  county  is  famous  for  its  wild  horses  and  the  whole  area  is  timbered  and  rugged  .
2	In  order  to  help  increase  the  booklets  downloads  ,  it  would  be  great  if  all  Stormfronters  who  had  YouTube  accounts  ,  could  display  the  following  text  in  the  description  boxes  of  their  uploaded  YouTube  videos  .
2	Please  let  me  know  if  there  is  anything  I  can  do  .
2	Humans  are  the  only  hosts  and  victims  of  V.  cholerae  ,  a  motile  ,  aerobic  organism  .
2	Fairy  Tales  .
2	Dessert  *  *  *  *  *  *  !!
2	And  it  will  be  leaving  it  a  week  before  the  actual  election  ,  I  hope  you  are  right  but  you  are  the  first  I  've  heard  to  suggest  this  .
2	But  let  me  tell  you  ,  everywhere  I  go  ,  it  seems  like  at  least  half  the  people  I  see  are  n't  White  .
2	But  we  must  need  to  be  able  to  name  these  characteristics  to  have  credibility  ,  so  we  need  to  collect  anthropological  and  genetic  evidence  that  will  prove  there  is  a  white  race  .
2	My  advice  :  print  out  a  few  good  articles  .
2	I'm  a  cowboy  ,  some  what  .
2	There  is  no  difference  .
2	And  the  guard  said  with  an  equally  straight  face  :  ``  Oh  ,  eh  ,  that  's  up  on  the  seventh  floor  ,  ....  dot  ,  dot  dot  .  ''
2	This  will  always  -  always  be  a  classic  :  AS  USUAL  -  FULL  SCREEN  :  Poor  Pimp  KO  -  YouTube  ``  target  =  ''  _  blank  "  >  Poor  Pimp  KO  -  YouTube  http://www.youtube.com/  watch  ?  v  =  sam6vfq7XS8
2	It  just  goes  to  show  that  kids  have  more  common  sense  than  many  white  adults  (  sadly.  )
2	Make  sure  you  have  a  security  team  for  Justin  Barrett  whenever  he  speaks  in  public  in  case  the  unwashed  scum  try  anything  again  .
2	This  weekend  the  decorations  go  up  .
2	He  of  all  people  should  have  known  to  what  extent  the  Federal  Government  will  go  to  have  people  like  him  thrown  in  prison  .
2	What  else  is  new  ?
2	The  baby  was  waving  its  arms  and  legs  !!
2	If  it  helps  you  feel  better  ,  I  got  accepted  into  the  following  schools  :  -  UCLA  -  UCI  -  UCSB  -  USD  -  Pepperdine  -  Oregon  State  -  USC  F  *  ck  Ivy  League  .
2	Its  that  simple
2	You  'd  want  to  stay  on  Earth  for  eternity  ,  it  would  have  been  that  good  .
2	Its  a  very  old  symbol  and  the  Nazi  's  chose  it  because  it  had  been  around  for  a  long  time  and  that  represented  strong  Aryan  roots  .
2	Sir  Thomas  Lawrence  .
2	Anyway  ,  I  intentionally  do  n't  make  clear  whether  I  'm  married  or  not  ,  or  whether  I  'm  a  father  or  mother  ,  because  this  is  2014  and  the  NSA  and  FBI  are  everywhere  ,  and  I  like  having  plausible  deniability  .
2	We  have  simply  had  enough  .
2	Thanks  ,  Greg
2	http://exopolitics.blogs.com/files/eu-collective.pdf  Have  a  read  ,  this  was  wrote  in  the  70s  .
2	In  interviews  with  the  sailors  ,  Bikel  learns  of  some  of  the  high-pressure  police  interrogation  techniques  --  including  the  threat  of  the  death  penalty  ,  sleep  deprivation  ,  and  intimidation  --  that  led  each  of  the  ``  Norfolk  Four  ''  to  confess  ,  despite  a  lack  of  evidence  linking  them  to  the  crime  .
2	Outraged  presenters  and  all  .
2	If  there  is  anything  I  can  do  to  help  ,  let  me  know  .
0	I  'm  not  a  nig  and  need  a  day  off  to  smoke  blunts  and  drink  40  ouncers  .
2	This  thread  makes  me  thankful  that  I  will  be  homeschooling  my  children  .
2	PNR  by  collectivization  of  industry  do  you  mean  the  folk  who  work  in  say  a  factory  own  it  themselves  or  do  you  mean  its  owned  by  the  state  in  the  name  of  all  the  citizens  .
2	Presumably  you  are  not  in  favour  of  mass  white  immigration  simply  on  the  shallow  account  that  they  are  agreeable  to  your  sensibilities  ?
2	That  is  because  Lycurgus  has  been  on  moderation  forever  and  should  be  let  off  .
2	http://www.wpix.com/news/wpix-jersey  ...  ,  5347881.story  =  =  =  =  =  Police  arrested  two  men  on  suspicion  of  stealing  more  than  $  50,000  worth  of  property  from  an  Avondale  home  Tuesday  afternoon  ,  thanks  in  part  to  attentive  neighbors  .
2	I  noticed  that  that  that  was  your  first  post  .
2	Nordic  is  a  sub  race  that  an  Anglo  Saxon  or  Celtic  person  could  and  more  than  likely  does  belong  to  .
1	!!!!!!!!!
2	I  support  this  100  %  !
2	BTW  Im  led  to  believe  that  Football  [  soccer  ]  was  invented  in  Somalia  ,  in  about  1066  AD  .
2	Restaurant  "  ?  "
2	This  has  been  going  on  since  the  sports  bring  in  so  much  money  .
2	I  do  have  a  few  copies  of  several  of  the  languages  around  the  house  ,  if  anyone  is  interested  PM  me  for  details  .
2	Obama  chooses  to  identify  as  black  ,  and  Zimmerman  chooses  to  identify  as  Hispanic  .
2	I  hope  not  much  people  will  trust  all  that  propaganda  .
2	Tell  me  this  wo  n't  happen  !
2	Thanks  though  .
2	The  capacity  is  lower  .
2	I  actually  have  a  college  degree  ,  but  choose  not  to  make  a  living  with  it  because  I  cannot  sit  at  a  desk  in  front  of  a  computer  all  day  .
2	Please  watch  your  six  brothers  and  sisters  we  are  all  targets  to  some  degree  .
2	When  I  started  learning  about  Hitler  in  school  and  I  was  possessed  with  trying  to  find  out  if  I  was  Aryan  .
2	I  must  fall  under  the  Alpine  grouping  as  well  .
2	2508
2	I  wonder  why  this  has  been  introduced  I  would  n't  trust  anything  that  is  being  taught  in  our  schools  -  nothing  in  our  schools  is  for  the  betterment  of  our  white  children  and  anything  that  has  been  newly  introduced  (  especially  in  the  times  we  are  living  in  now  )  I  would  be  highly  sceptical  .
2	You  need  to  join  a  Nationalist  organization  so  you  are  more  part  of  the  scene  such  as  the  Nationalist  Party  of  Canada  .
2	Its  a  great  piece  of  history  to  know  .
2	Is  this  normally  what  it  should  be  ?
2	Take  one  of  the  scandinavian  flags  ,  and  change  the  color  from  blue  and  yellow  (  Sweden  as  an  example  )  and  turn  it  to  green  and  yellow.  lol  ,  it  might  be  decent
2	I  have  been  able  to  become  more  active  than  ever  because  of  this  site  .
2	I  prefer  classical  music  and  marching  band  works  ,  particularly  the  kind  of  score  that  was  written  for  marching  band  ,  not  some  pop  song  transcribed  to  be  played  by  instruments  .
0	I  do  not  think  anyone  looks  up  to  white  Negroes  ,  just  the  black  ones  and  then  they  become  wiggers  .
2	You  wo  n't  see  any  of  them  in  a  thread  like  this  who  do  n't  come  just  to  take  a  cheap  shot  at  us  via  strawman  arguments  or  ad  hominems  .
2	Where  can  I  find  NS  speeches  and  music  ,  also  historical  ,  in  mp3  format  for  free  download  on  the  net  .
2	Hi,  I  'm  trying  to  move  myself  and  my  three  year  old  son  up  to  Northern  California  or  even  out  of  state  somewhere  near  woodlands  and  I  am  curious  if  anyone  knows  about  places  I  might  be  able  to  stay  for  cheap  or  free  or  if  anyone  has  a  contact  .
2	Maybe  H  &  K  was  impressed  by  his  rap  video  ?
2	I  met  her  in  person  a  month  or  two  ago  ,  she  has  n't  been  back  on  stormfront  ,  I  have  n't  even  seen  her  on  AIM  lately  ,  I  'd  say  email  is  your  best  hope  of  contacting  her  .
2	Responsible  Body  Armor  Possession  Act  Keeps  Military  Armor  out  of  the  Wrong  Hands  |  Congressman  Mike  Honda  It  seems  that  our  enemies  in  Congress  are  once  again  introducing  a  bill  which  is  designed  to  restrict  civilian  access  to  certain  types  of  body  armor  (  level  III  and  IV  rifle  plates  )  .
2	Like  many  on  here  are  .
2	I  was  traveling  today  and  was  informed  that  the  black  slaves  were  trained  and  educated  in  the  arts  of  skilled  labor  .
2	I've  seen  some  other  nationalities  ones  in  the  world  as  well  .
2	Yah  ,  I  guess  there  is  !!!
2	SOS  !
2	They  were  talking  about  this  on  another  thread  and  the  first  choices  were  for  Coke  and  Taco  Bell  .
2	2508
0	Blacks  seem  to  be  hell  bent  on  embarrassing  themselves  and  acting  like  animals  everywhere  they  go  ..  this  is  pretty  typical  behaviour  ..
2	On  Stormfront  usually  we  try  to  respect  feelings  of  those  who  find  scantily  dressed  (  bikini  etc  )  images  or  suggestive  poses  tacky  .
2	After  a  few  months  to  a  year  you  wo  n't  be  losing  many  fights  .
0	It's  going  to  take  everyone  working  together  to  beat  the  New  World  Order  .
2	I  've  added  you  to  my  AIM  but  have  yet  to  catch  you  online  .
2	the  school  board  is  completely  blinded  to  the  events  that  go  on  with  their  schools  ...  i  contacted  them  about  the  boy  with  the  knife  n  they  were  never  even  informed  of  the  situation  nor  were  the  authorities  called  ,  eventhough  that  is  what  the  school  policy  requires  in  such  situations  ...
2	I  believe  their  presence  in  your  country  led  to  the  legislative  inception  of  these  permits  .
2	Enjoy  having  multiculturalism  shoved  down  your  throat  ,  fighting  for  Israel  and  having  a  black  or  Asian  as  your  new  best  friend  .
2	thats  just  stupid  to  say  that  ,  because  you  have  probably  heard  maybe  10-20  artists  and  those  are  the  *  *  *  *  *  *  s  on  TV  and  stuff.  there  are  tons  of  white  ,  non-wigerish  rappers  that  dont  ``  scream  ''  about  something
2	It  was  too  much  police  and  security  police  involving  ,  but  you  will  see  in  Latvia.Also  ,  all  that  crap  was  lasting  about  some  45  minutes  .
2	well  what  about  WWI  and  the  Armenian  Genocide  which  the  following  video  says  was  instigated  by  International  jewish  cabal  :  http://www.youtube.com/watch  ?  v  =  ttjNZ  ...  eature  =  related
0	Yet  my  daughter  still  wants  to  go  outside  and  play  with  that  thing  .
0	I  went  back  a  cpl  years  ago  and  the  black  vermin  were  everywhere  .
2	Recently  blew  away  an  old  computer  tower  .
0	If  it  continues  England  will  become  a  cesspool  of  sh  *  *  pardon  my  English
2	Do  you  have  any  figures  on  this  ?
0	Get  over  watching  monkeys  throw  a  ball  around  and  get  a  real  hobby  for  God  's  sake  .
2	The  black  churches  show  all  black  faces  on  their  billboards  .
2	unfortunately  the  jew  controlled  government  will  never  allow  this  labeling  every  attempt  for  this  ``  racist  ''  even  though  there  are  hundreds  of  negro  exclusive  schools  around  this  country  .
0	If  the  Jews  are  allowed  to  decide  for  everyone  the  correct  version  of  history  ,  I  'm  sure  they  'll  eventually  re-write  the  history  around  Jesus  Christ  .
2	This  figure  is  taken  from  quickresponse  which  is  an  organisation  in  Sweden  who  's  task  is  to  watch  rascist  organisations  in  Sweden
2	thank  you  for  the  support  Ukrainian  brothers  .
2	National  Geographic  magazines  in  the  1950s  and  early  1960s  are  replete  with  color  photos  of  African  villagers  .
2	Wishing  a  happy  New  Year  to  all  Slavic  brothers  and  sisters  Let  's  hope  this  will  be  a  good  year  for  us
2	Another  cleaning  tip  (  from  Vietnam  ,  go  figure  )  that  works  well  .
2	Stay  away  from  any  public  or  state  schools  ,  would  have  to  be  private  .
2	Give  them  their  interview  but  be  careful  not  to  say  anything  stupid.Tape  the  interview  for  legal  reasons  put  it  up  on  the  net.Let  the  truth  prevail  .
2	I  would  not  even  use  anything  that  man  says  winston  churchill  is  the  reason  we  are  in  this  mess  in  the  first  place  the  bastard  should  have  been  shot
2	Apparently  if  the  2nd  toe  is  bigger  than  the  Big  Toe  it  is  a  racial  sign  that  your  parents  have  confined  their  mating  patterns  to  mixing  within  those  of  Celtic  Stock  .
2	With  those  who  're  sincere  and  genuine  Racial  Nationalists  that  's  usually  the  best  .
2	Oh  yes  and  to  round  it  all  off  we  have  new  neighbours  moved  in  .
0	one  is  one  too  many  ,  i  bet  all  the  white  girls  and  wiggers  go  crazy  for  the  young  coon  ,  whichever  school  you  are  in  ,  wigggers  outnumber  metalheads  or  ``  normal  ''  whites
2	A  lot  there  are  old  ,  but  I  have  lots  of  new  ones  I  'll  be  adding  soon  .
2	Our  government  has  been  in  the  practice  of  tearing  down  the  white  race  to  raise  the  non  white  minority  races  by  forcing  diversity  and  multiculturalism  down  white  people  's  throats  .
2	Also  :  Student  ,  underholdes  af  faderen  (  Student  of  ...  ?  )
0	Even  the  queers  in  small  towns  have  been  emboldened  to  go  out  and  peddle  the  homosexual  agenda  .
2	I  'm  planning  to  have  a  little  gathering  to  remember  the  good  old  days  .
2	Blacks  Will  Lose  Race  War  -  YouTube
2	http://www.youtube.com/watch  ?  v  =  0Ljpk  ...  elated  &  search  =
2	Truly  sad  ...
0	Miami,(  I  do  n't  know  how  Don  can  stand  living  down  there  )  Hispanic  -  279,456  (  70.0  %  )  Black  alone  -  64,993  (  16.3  %  )  White  alone  -  47,622  (  11.9  %  )  Asian  alone  -  3,649  (  0.9  %  )  Two  or  more  races  -  2,642  (  0.7  %  )  Other  race  alone  -  676  (  0.2  %  )  American  Indian  alone  -  361  (  0.09  %  )  Native  Hawaiian  and  Other  Pacific  Islander  alone  -  58  (  0.01  %  )  Read  more  :  Miami  ,  Florida  (  FL  )  profile  :  population  ,  maps  ,  real  estate  ,  averages  ,  homes  ,  statistics  ,  relocation  ,  travel  ,  jobs  ,  hospitals  ,  schools  ,  crime  ,  moving  ,  houses  ,  news  ,  sex  offenders
0	I'm  heading  down  to  DC  to  put  a  sign  on  the  White  House  gates  that  will  read  :  '  No  savage  negro  BEASTS  in  the  White  House  !  '
2	i  am  a  16yr  old  irish  male  dont  worry  lads  i  ll  make  sure  ireland  stays  white  and  i  hope  i  can  count  on  help  from  my  stormfront  brothers  around  the  world  ????  2508
0	The  next  generation  of  humanity  should  thank  you  for  not  having  been  infected  with  your  flawed  genetic  structure  .
0	And  the  sad  thing  is  the  white  students  at  those  schools  will  act  like  that  too  .
2	Finns  and  Sweds  can  become  even  closer  after  this  and  we  can  start  to  become  true  brethren  nations  like  we  always  should  have  been  .
2	FL  that  's  an  old  photo  of  last  year  .
2	Exactly,  I  stand  alone  here  .
2	Complete  nonsense  with  your  own  plain  as  day  motive  lurking  around  in  the  background  as  usual  .  The  article  shows  people  are  acting  ,  action  I  support  .
2	BTW  ,  Winchester  slugs  blew  a  1  inch  hole  in  and  out  .
2	I  also  attended  a  Masters/PhD  graduation  ceremony  at  a  major  state  university  a  few  years  ago  -  none  of  the  CS  degrees  were  awarded  to  blacks.  [  a  couple  computer  degrees  went  to  blacks  ,  but  they  were  in  IT  with  a  focus  on  internet  marketing/web-commerce  ]  So  where  are  all  these  black  computer  geniuses  hiding  ?
2	That  mud  is  certainly  not  Swedish  Try  something  like  this  :  They  are  the  misses  of  Norway  ,  both  White  and  beautiful  Brian
2	^  ...  And  I  now  have  a  new  contender  for  the  top  space  on  my  list  of  traitors  to  be  hung  when  Europe  awakens  .
2	Hey,  guys  I  'm  new  to  SF  but  I  've  long  had  right  wing  views  about  immigration  looking  to  join  a  white  nationalist  group  I  live  in  Huron  county  PM  me  if  you  have  a  group  I  could  join  or  if  you  know  of  one  in  my  area  !
2	William  Shockley  on  race  ,  IQ  and  Dysgenics  -  YouTube
2	Just  Google  it  and  you  'll  see  what  I  mean  .
2	I  seen  a  young  Latvian  girl  at  Prague  airport  with  a  very  dark  arab  and  their  little  girl  about  2  was  very  dark  .
2	Poor  kid  If  you  can  swing  it  folks  also  get  a  good  guard  breed  dog  .
2	It  is  precisely  for  these  reasons  among  others  that  I  made  the  decision  to  align  myself  with  WNs  .
2	You  realize  you  are  not  going  to  be  convincing  any  loyal  board  members  to  the  terrific  joys  of  diversity  and  the  cultural  enrichment  that  say  the  Somali  Muslim  refugees  are  bringing  to  White  communities  .
2	We  will  never  forget  their  heroism  .
2	Many  years  ago  I  heard  from  a  swedish  friend  lots  of  maffia-activity  comes  from  the  Russians  .
2	We  get  the  occasional  mention  in  papers  like  the  Guardian  here  and  of  course  journalists  look  in  but  as  far  as  I  know  that  's  it  .
2	And  you  will  find  it  too  ,  just  like  you  have  so  many  times  before  .  .  .
0	-  ``  Something  about  black  ''  and  the  old  favorite  ``  Once  you  go  black  you  never  go  back  ''
2	If  you  do  n't  mind  a  silent  film  The  Birth  of  a  Nation  is  a  must  see  .
0	If  they  do  n't  find  a  way  to  kick  out  the  brown  cloud  that  's  already  there  the  Danish  gene  pool  is  lost  .
2	Many  years  ago  maybe  ,  there  's  no  ammo  for  them  anyway  ,  rather  send  a  donation  of  a  few  thousand  M4  's
2	Cool,  I  have  never  been  in  this  section  that  I  remember  .
2	Always  see  the  enemy  as  the  hole  in  the  roof  that  made  the  mess  .
2	Taking  it  to  the  authorities  is  the  worst  thing  you  can  do  .
2	You  say  Bloeslaw  Chrobry  ;  in  Croatian  we  would  say  Boleslav  Hrabri  .
2	Yeah  they  did  this  crap  at  my  school  when  I  was  in  kindergarten  .
2	Was  there  actually  supposed  to  be  any  evidence  of  Celtic  communities  in  NZ  contained  on  that  page  ?
2	His  style  of  posting  is  unique  and  unappreciated  .
2	I  saw  the  picture  before  I  saw  the  title  properly  .
2	hey,  maybe  we  can  meet  before  I  go  back  to  school  ,  if  you  want  to  just  PM  me  and  I  can  give  you  my  AIM  ,  yahoo  ,  MSN  ICQ  whatever  2508
2	Your  gonna  get  beat  up  by  guys  !  Thats  messed  not  even  the  sorenyos  kids  at  my  school  hit  girls  unless  its  their  whore  !
2	Jesus  would  be  very  disappointed  in  all  the  so  called  Christians  who  are  so  supportive  of  Jews  .
2	White  Irish  nationalist  for  Ireland  White  German  nationalist  for  Germany  White  Dutch  people  for  the  Netherlands  Thats  not  hard  borders  are  very  important  even  between  European  countries  To  destroy  or  harm  any  culture  is  a  crime  against  humanity  and  melting  down  all  the  smaller  countries  into  one  big  country  destroying  there  languages  and  so  on  would  just  be  wrong  ,  we  should  work  together  yes  we  are  all  white  and  all  brothers  and  our  nations  are  sacred  .
2	Stuff  like  that  needs  to  be  shared  on  Facebook  to  wake  Canadians  up  .
2	More  the  reason  why  I  want  to  home  school  my  kids  .
2	(  Prince  of  Bel  Air  ,  Moeisha  ,  etc  ...  )
0	...mating  with  other  mulattos  would  be  ideal  ,  but  since  there  are  n't  huge  numbers  of  mulatto  children  compared  to  those  of  Whites  or  blacks  I  'd  rather  see  them  up  with  blacks  so  that  White  bloodlines  stay  intact  .
2	When  they  took  the  cross  off  the  Canadian  flag  then  we  were  doomed  .
2	http://www.eltingauction.com/2houses.htm
2	1900  's  i  mean
2	His  name  is  Josh  Gilmore  2508
2	My  daughter  just  got  Journey  to  Center  of  the  Earth  today  from  our  stockpile  of  books  .
2	What's  the  non-White  demographic  %  in  London  ?
2	I  understand  this  post  is  depressing  .
2	My  ancestors  who  had  the  good  sense  and  foresight  to  come  and  build  America  .
2	I  remember  in  grade  8  doing  a  project  on  that  ,  and  I  got  punished  by  the  teacher  because  ``  only  blacks  were  slaves  ''  She  was  an  idiot  !
2	I  actually  saw  a  period  belt  buckle  once  with  the  SS  Deaths  Head  on  it  and  ``  Gott  Mit  Uns  ''  over  it  .
2	Cheers  !
2	Tom,  follow  the  links  following  this  message  if  want  to  be  prouductive  ;  otherwise  we  have  to  delete  the  messages  of  those  who  spread  the  message  of  non-community  and  defeat  .
2	......according  to  DUP  Northern  Ireland  minister  ,  Nelson  McCausland  :  Northern  Ireland  minister  calls  on  Ulster  Museum  to  promote  creationism  |  Politics  |  The  Guardian  Hmm  .
2	Thanks  for  the  posting  and  all  they  contains  .
2	My  buddy  's  boat  .
0	Sounds  like  they  might  have  some  Palestinians  of  either  the  Muslim  or  Judaic  variety  in  the  woodpile  ,  throwing  stones  like  that  .
2	Clearly  there  is  a  need  for  more  alternative  media  in  this  country  .
0	Yeah,  but  I  should  mention  that  a  few  places  there  ,  like  Beaver  Falls  and  Aliquippa  ,  are  chock-full  of  filthy  --  and  I  mean  filthy  --  n  *  *  *  *  *  s  .
2	January  29th  ,  2012  -  Whitefish  Lake  frozen  over  .
0	I  wonder  if  this  guy  still  thinks  the  Jews  are  a  good  thing  after  the  Jews  just  tried  to  start  a  war  between  NATO  and  Russia  ?
2	Hey  Braveheart  ,  I  am  almost  20  years  old  and  I  am  a  5  '  6'  '  ,  blond/blue  ,  120lb  female  .
2	Well  I  guess  it  was  bound  to  happen  .
2	It  is  based  on  the  Sven  Hassel  story  of  the  same  name  -  www.stormfront.org/forum/t1103833/
0	Angry  sheboon  trashes  liquor  store  .
2	I  guess  it  's  time  for  a  new  update  !
2	I  wrote  almost  the  same  thing  a  week  or  so  ago  .
